iter	Passed	Remaining
0	68	68478
1	79	39655
2	90	30182
3	107	26703
4	118	23574
5	129	21513
6	141	20041
7	153	19001
8	163	17999
9	174	17285
10	185	16696
11	196	16219
12	207	15777
13	219	15477
14	231	15206
15	242	14910
16	253	14659
17	264	14442
18	275	14225
19	286	14046
20	299	13960
21	310	13806
22	321	13676
23	333	13574
24	345	13462
25	356	13366
26	367	13257
27	379	13171
28	390	13071
29	401	12993
30	412	12902
31	424	12832
32	435	12748
33	446	12688
34	458	12630
35	469	12561
36	486	12650
37	496	12575
38	508	12526
39	520	12484
40	531	12433
41	542	12370
42	553	12318
43	564	12271
44	575	12212
45	585	12150
46	597	12110
47	609	12094
48	622	12084
49	634	12055
50	646	12021
51	657	11983
52	667	11935
53	680	11923
54	691	11887
55	703	11851
56	714	11814
57	724	11773
58	735	11731
59	746	11697
60	757	11664
61	768	11621
62	779	11596
63	791	11569
64	802	11545
65	813	11517
66	825	11493
67	836	11465
68	848	11442
69	858	11401
70	869	11373
71	884	11399
72	895	11373
73	907	11350
74	917	11315
75	929	11305
76	940	11272
77	951	11246
78	961	11214
79	972	11185
80	983	11155
81	994	11129
82	1005	11107
83	1018	11106
84	1035	11151
85	1052	11190
86	1071	11246
87	1094	11345
88	1106	11326
89	1117	11303
90	1129	11282
91	1140	11255
92	1153	11247
93	1167	11252
94	1180	11247
95	1192	11232
96	1203	11207
97	1214	11182
98	1226	11164
99	1238	11142
100	1248	11112
101	1259	11089
102	1270	11065
103	1281	11038
104	1292	11020
105	1304	10999
106	1343	11213
107	1355	11193
108	1365	11163
109	1375	11129
110	1386	11102
111	1397	11079
112	1408	11055
113	1419	11034
114	1431	11013
115	1442	10992
116	1454	10978
117	1466	10960
118	1477	10941
119	1488	10916
120	1499	10896
121	1511	10875
122	1522	10855
123	1538	10867
124	1564	10951
125	1575	10928
126	1587	10909
127	1598	10890
128	1609	10867
129	1620	10844
130	1632	10828
131	1643	10807
132	1655	10790
133	1666	10768
134	1677	10749
135	1688	10727
136	1699	10708
137	1711	10689
138	1722	10669
139	1733	10649
140	1744	10630
141	1757	10618
142	1768	10600
143	1779	10576
144	1790	10556
145	1801	10535
146	1811	10511
147	1822	10491
148	1833	10471
149	1844	10449
150	1855	10431
151	1866	10414
152	1878	10397
153	1888	10376
154	1899	10357
155	1910	10335
156	1922	10320
157	1933	10303
158	1944	10285
159	1963	10309
160	1974	10291
161	1986	10273
162	1997	10256
163	2008	10236
164	2019	10217
165	2029	10198
166	2040	10180
167	2052	10162
168	2063	10145
169	2074	10130
170	2086	10115
171	2097	10099
172	2108	10081
173	2119	10062
174	2131	10047
175	2144	10042
176	2155	10024
177	2167	10007
178	2177	9989
179	2188	9969
180	2199	9952
181	2209	9931
182	2220	9912
183	2241	9940
184	2253	9928
185	2264	9910
186	2286	9941
187	2300	9936
188	2313	9926
189	2325	9913
190	2347	9941
191	2358	9926
192	2369	9908
193	2381	9892
194	2392	9875
195	2402	9856
196	2413	9839
197	2424	9819
198	2436	9805
199	2447	9789
200	2459	9776
201	2470	9760
202	2481	9744
203	2493	9728
204	2503	9710
