iter	MultiClass
0	1.927654851
1	1.704568731
2	1.535278287
3	1.371417754
4	1.278425687
5	1.191955
6	1.104793369
7	1.029921001
8	0.9811808201
9	0.9306333335
10	0.88053079
11	0.8461886637
12	0.804791648
13	0.7755240665
14	0.7347270183
15	0.699362718
16	0.6770940551
17	0.6535145767
18	0.6258770934
19	0.6047317078
20	0.5870295175
21	0.5660635184
22	0.5442625167
23	0.5210484005
24	0.5028483875
25	0.4842245408
26	0.4718325083
27	0.4517888851
28	0.4380777445
29	0.4289707023
30	0.410785393
31	0.3976417219
32	0.3877101932
33	0.3783809813
34	0.3650925879
35	0.3482359633
36	0.339386654
37	0.3360896183
38	0.330207294
39	0.32191093
40	0.3110859881
41	0.3021705954
42	0.2991444542
43	0.2891392786
44	0.2828913499
45	0.2791999897
46	0.271994831
47	0.2614441835
48	0.2563884397
49	0.2471500358
50	0.2435197099
51	0.2385122326
52	0.2335541587
53	0.2294374636
54	0.2243722794
55	0.2186771344
56	0.2116343327
57	0.2097599571
58	0.2069342138
59	0.2037067492
60	0.1981948933
61	0.1953086165
62	0.1916066343
63	0.1862000357
64	0.1817226027
65	0.1769790846
66	0.1734575336
67	0.1706079752
68	0.1671322548
69	0.1623266018
70	0.1595103477
71	0.157311994
72	0.1547687515
73	0.1510069037
74	0.1489288761
75	0.1465894896
76	0.1450737525
77	0.1427697541
78	0.1405061394
79	0.1380159902
80	0.1370943626
81	0.1350227235
82	0.1325203752
83	0.1320607552
84	0.1302349492
85	0.1283565345
86	0.1272315561
87	0.1255038541
88	0.1238339159
89	0.122938573
90	0.1208751604
91	0.1198586118
92	0.1186849312
93	0.1172106565
94	0.1149180756
95	0.112897527
96	0.111118237
97	0.1096875267
98	0.1081331877
99	0.1069572934
