iter	Passed	Remaining
0	69	6878
1	78	3855
2	86	2787
3	93	2244
4	100	1913
5	108	1695
6	115	1537
7	122	1414
8	129	1312
9	136	1232
10	143	1164
11	150	1106
12	158	1060
13	165	1015
14	172	977
15	179	943
16	186	910
17	193	881
18	200	854
19	207	829
20	214	806
21	221	785
22	228	765
23	235	747
24	243	729
25	250	712
26	257	696
27	265	681
28	272	666
29	279	651
30	285	636
31	292	622
32	300	609
33	307	597
34	315	586
35	323	575
36	331	564
37	338	552
38	346	541
39	353	530
40	361	520
41	369	510
42	376	499
43	384	489
44	392	479
45	399	469
46	407	459
47	415	449
48	422	440
49	430	430
50	438	421
51	446	411
52	453	402
53	461	392
54	469	383
55	476	374
56	484	365
57	491	356
58	499	346
59	507	338
60	515	329
61	523	320
62	531	311
63	538	302
64	546	294
65	553	285
66	560	276
67	568	267
68	575	258
69	581	249
70	589	240
71	596	231
72	603	223
73	610	214
74	617	205
75	624	197
76	631	188
77	638	180
78	645	171
79	652	163
80	659	154
81	666	146
82	673	137
83	680	129
84	687	121
85	694	113
86	701	104
87	707	96
88	714	88
89	722	80
90	729	72
91	736	64
92	744	56
93	750	47
94	757	39
95	764	31
96	771	23
97	778	15
98	785	7
99	792	0
